,Title,Company,Location,Link,Review
18,GIS Planner - Fire & Protective Services,City of Regina,"Regina, SK",https://ca.indeed.com/rc/clk?jk=c10a6afb17f539de&fccid=43447d28576e52bb&vjs=3,"3,8"
19,Senior GIS Analyst,Stantec,"Saskatoon, SK",https://ca.indeed.com/rc/clk?jk=8ed2c08eacfafbf7&fccid=f1582c464db8553b&vjs=3,"3,7"
20,GIS Analyst / Land Management Assistant,Newmont Mining,"Vancouver, BC
•
Télétravail",https://ca.indeed.com/rc/clk?jk=0e4fd4317a06edb1&fccid=d69b23188b4f955b&vjs=3,"4,0"
21,"nouveau
Planning Analyst (Downtown Eastside)",The City of Vancouver,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c9ccbe595370556f&fccid=3d91f889655d303e&vjs=3,None
22,GIS technicians,JCMB Technology,"Delson, QC",https://ca.indeed.com/rc/clk?jk=dd0d6a06b1ee7bf9&fccid=927020447303ca98&vjs=3,None
23,GIS Data Architect,Fujitsu,Canada,https://ca.indeed.com/rc/clk?jk=d53161d95717aef7&fccid=0d771a787e6e10bd&vjs=3,"3,6"
24,GIS and CAD Technician,The MEARIE Group,"Oakville, ON",https://ca.indeed.com/rc/clk?jk=4bb4e35402506190&fccid=05cd95175163d972&vjs=3,None
25,GIS Developer (all locations) - 1222,Solvera,"Canada
•
Télétravail",https://ca.indeed.com/rc/clk?jk=2841c69a04ced46d&fccid=6de4bd22b79a799f&vjs=3,"4,0"
26,GIS Technician,City of Thorold,"Thorold, ON",https://ca.indeed.com/rc/clk?jk=0d0804ab36f1f30e&fccid=11df29d9a4229b52&vjs=3,"3,8"
27,GIS Developer/Analyst,AFL Telecommunications LLC,"Surrey, BC",https://ca.indeed.com/rc/clk?jk=e04d6fd95660a7a7&fccid=de61ab7c02b43d8c&vjs=3,"3,6"
28,"nouveau
Student - Reclamation and Closure",Suncor Energy Services,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=09d7df635b37659c&fccid=e16ce774384b4169&vjs=3,"4,0"
29,STEM Outreach Technician,Government of the Northwest Territories,"Inuvik, NT",https://ca.indeed.com/rc/clk?jk=496f9661fd6f4778&fccid=cbbec3f145fb93a4&vjs=3,"3,8"
30,Wildlife Biologist,Government of Alberta,"Fort McMurray, AB",https://ca.indeed.com/rc/clk?jk=a7d84eb18fb86c22&fccid=06eb55e7689c0bc2&vjs=3,"4,0"
31,Environmental GIS Student (2022),Canadian Natural,"Fort McMurray, AB",https://ca.indeed.com/rc/clk?jk=c24883578f4f4fc5&fccid=c0bb7be52e9b90bc&vjs=3,"3,7"
32,Quality Analyst,Safe Software,"Surrey, BC
•
Télétravail temporaire",https://ca.indeed.com/rc/clk?jk=cb34f816cfcc157f&fccid=7134f3b0bafa5551&vjs=3,None
33,Geospatial Developer,Government of Alberta,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=a179694b0b4a3599&fccid=06eb55e7689c0bc2&vjs=3,"4,0"
34,"nouveau
Transit Technician",Halifax Regional Municipality,Canada,https://ca.indeed.com/rc/clk?jk=f05040bdedf1e675&fccid=3911a4869d010d10&vjs=3,"4,3"
35,GIS Analyst,Effigis,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=2bbf64c6ae3c6da8&fccid=fad28344810db477&vjs=3,None
36,GIS Developer (Front-End),Spatial DNA,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=be51aa9617e8d292&fccid=4b650ca6aae68a48&vjs=3,None
37,Data Analyst,Malatest,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=bf6f5a7a7202f7ab&fccid=2068a6ece1dbed15&vjs=3,"3,7"
38,GIS Developer,Pelmorex Corp,Télétravail,https://ca.indeed.com/rc/clk?jk=cb60793a02480712&fccid=b2d4328e43e833e5&vjs=3,"4,0"
39,Hydrotechnical EIT,Hatch,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=38daaa436adbb74d&fccid=0ac3b933f5c5f8e3&vjs=3,"3,9"
40,"nouveau
Water Resource Officer",Manitoba Government,"Neepawa, MB",https://ca.indeed.com/rc/clk?jk=44c2c0cc1632e064&fccid=84928e77c488cf4e&vjs=3,"3,6"
41,2022 Summer Internship – Energy & Natural Resources – GeoSpa...,IHS Markit,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=ee133628339bffd9&fccid=c4ba6202af4dda9d&vjs=3,"3,6"
42,Land and Resources Manager,Tr'ondek Hwech'in Government,"Dawson City, YT",https://ca.indeed.com/rc/clk?jk=adc970647b8cba24&fccid=9532aaa9b9b7381c&vjs=3,None
43,"nouveau
Student Mine Planning/Survey",Suncor Energy Services,"Wood Buffalo, AB",https://ca.indeed.com/rc/clk?jk=a706d7d7e0f2fe3b&fccid=e16ce774384b4169&vjs=3,"4,0"
44,Environmental Services Assistant,Cowichan Valley Regional District,"Duncan, BC",https://ca.indeed.com/rc/clk?jk=ea91e474fbe760fb&fccid=9e39c3f180f66611&vjs=3,None
45,Transit Advisory Analyst,Stantec,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=8b9015103526e952&fccid=f1582c464db8553b&vjs=3,"3,7"
46,Water Distribution Supervisor,City of Hamilton,"Hamilton, ON",https://ca.indeed.com/rc/clk?jk=d51f3329521bc355&fccid=bc3edde79fc08191&vjs=3,"4,2"
47,Project Manager Corporate Asset Management,City of Richmond Hill,"Richmond Hill, ON",https://ca.indeed.com/rc/clk?jk=98551889a79f9867&fccid=dd07620fcfc833ab&vjs=3,"4,1"
48,RF Spectrum Management Engineer,TELUS,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=3f2c199230db62d6&fccid=ed81336789a877c2&vjs=3,"3,9"
49,Junior Technician,Stantec,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=a10381629680371e&fccid=f1582c464db8553b&vjs=3,"3,7"
50,Entry Level Environmental Data Management (EDM) Specialist,Jacobs,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=7a5ef132210e83b9&fccid=de56d7554bea5214&vjs=3,"3,9"
51,Project Manager Sustainable Mobility Planning,City of Hamilton,"Hamilton, ON",https://ca.indeed.com/rc/clk?jk=c3eb73fede04a85d&fccid=bc3edde79fc08191&vjs=3,"4,2"
52,GIS Developer,3v Geomatics,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=0611108efd4af71c&fccid=ad90fc80d907a792&vjs=3,None
53,"nouveau
Student, Mining, Civil or Geological Engineering",Alberta Energy Regulator,"Edmonton, AB
•
Télétravail temporaire",https://ca.indeed.com/company/Alberta-Energy-Regulator/jobs/Student-f671b53affce1ca6?fccid=f51f70746696cf21&vjs=3,"3,5"
54,"Manager, Operational and Service Excellence",Province of Nova Scotia,"Halifax, NS",https://ca.indeed.com/rc/clk?jk=e94f1433460bc37c&fccid=76b2daf26bb1853b&vjs=3,"3,8"
55,"Analyst, Environmental & Social Risk (Summer 2022 Student)",RBC,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=535ac42332690c86&fccid=537b899e30af3338&vjs=3,"4,0"
56,"nouveau
Computer Services Officer 3 (Senior GIS Programming Analyst)",Province of Nova Scotia,"Amherst, NS",https://ca.indeed.com/rc/clk?jk=d2047c52c8bef9ec&fccid=76b2daf26bb1853b&vjs=3,"3,8"
57,GIS Technician III,Hydro One Networks Inc,"Barrie, ON",https://ca.indeed.com/rc/clk?jk=e6eb8e1610a13265&fccid=1f9a409b34da3bd7&vjs=3,"4,2"
58,"MANAGER, PARKS & FACILITIES",Township of Oro-Medonte,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=7b16a4ea0f528426&fccid=5bdf330331a73409&vjs=3,"4,5"
59,Socio-Economist,Dillon Consulting Limited,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=166b056933f770c8&fccid=6a34323eae72ab52&vjs=3,"3,7"
